t,a,b,c
2024-11-14T07:00:00.000000,(22.34566-23.965958j),(-32.550823-9.245279j),(10.205164+33.21124j)
2024-11-14T07:00:20.000000,(22.499182-24.08305j),(-32.654797-9.115859j),(10.155616+33.19891j)
2024-11-14T07:00:30.000000,(22.458101-24.224611j),(-32.721134-9.099747j),(10.263035+33.324356j)
2024-11-14T07:00:50.000000,(22.375036-24.124985j),(-32.55857-9.249728j),(10.183537+33.37471j)
2024-11-14T07:01:00.000000,(22.327229-23.990088j),(-32.514725-9.057594j),(10.187495+33.04768j)
2024-11-14T07:01:10.000000,(22.482803-24.050467j),(-32.56983-9.058977j),(10.087028+33.109444j)
2024-11-14T07:01:20.000000,(22.309174-24.043747j),(-32.520092-9.018726j),(10.210919+33.062473j)
2024-11-14T07:01:40.000000,(22.095669-24.129244j),(-32.569633-8.766159j),(10.473967+32.8954j)
2024-11-14T07:01:50.000000,(22.553602-24.12409j),(-32.704834-8.99688j),(10.151232+33.120968j)
2024-11-14T07:02:10.000000,(22.401838-24.16227j),(-32.647488-8.919625j),(10.245648+33.081894j)
2024-11-14T07:02:20.000000,(22.62137-24.176855j),(-32.683784-9.159431j),(10.062415+33.336285j)
2024-11-14T07:02:30.000000,(22.35912-24.232233j),(-32.643093-8.943684j),(10.283972+33.17592j)
2024-11-14T07:02:50.000000,(22.835114-24.521925j),(-33.088272-9.034575j),(10.2531595+33.5565j)
2024-11-14T07:03:00.000000,(22.70136-24.223345j),(-32.912838-9.078531j),(10.211476+33.301876j)
2024-11-14T07:03:10.000000,(22.55661-24.184732j),(-32.806828-8.918852j),(10.250217+33.103584j)
2024-11-14T07:03:20.000000,(22.493372-24.263138j),(-32.863304-8.828536j),(10.369933+33.091675j)
2024-11-14T07:03:30.000000,(22.677137-24.267048j),(-32.97473-9.0015545j),(10.297593+33.2686j)
2024-11-14T07:03:40.000000,(22.748533-24.236803j),(-33.089695-9.114722j),(10.341163+33.351524j)
2024-11-14T07:03:50.000000,(22.60903-24.172943j),(-32.93406-9.164151j),(10.325027+33.337093j)
2024-11-14T07:04:00.000000,(22.546997-24.137003j),(-32.84864-9.100067j),(10.301641+33.237072j)
2024-11-14T07:04:10.000000,(22.43602-24.097284j),(-32.780533-8.98296j),(10.344511+33.080242j)
2024-11-14T07:04:20.000000,(22.398495-24.185474j),(-32.75317-8.900023j),(10.354676+33.0855j)
2024-11-14T07:04:30.000000,(22.490076-24.158659j),(-32.872166-9.052715j),(10.3820915+33.211376j)
2024-11-14T07:04:50.000000,(22.357704-24.356012j),(-32.84381-8.708894j),(10.486106+33.064907j)
2024-11-14T07:05:00.000000,(22.936436-24.282194j),(-33.123016-9.036536j),(10.18658+33.31873j)
